Last Name,First Name,ORCID
Brown,Lyndon J.,0000-0001-6093-2668
Brown,Peter G.,0000-0001-6130-7039
Brown,Christopher,NO
Brown,Judith B.,0000-0002-3661-9361
Brown,Arthur,0000-0002-8725-3195
Brunette-Debassige,Candace,0000-0003-2429-128X
Bruni,Ida,00099-0006-8305-6481
Brunton,Laura,0000-0002-0890-7040
Bryant,Dianne,0000-0002-7535-8707
Brysiewicz,Taylor C.,NO
Buchel,Alex S,NO
Buchkowski,Robert Walter,0000-0001-6381-8609
Budhram,Adrian,0000-0003-4860-0470
Bulakbasi Balci,Tugce,0000-0002-5409-8387
Bureau,Yves,NO
Burgess,Paige,NO
Burhan,Amer,NO
Burke,Shauna,0000-0003-2749-1631
Burkell,Jacquelyn,0000-0003-2645-8127
Burneo,Jorge G,0000-0002-3644-2826
Burrell,Alishya,0000-0003-2756-8934
Bursztyn,Lulu,0000-0002-4937-2687
Burton,Jeremy,0000-0002-3591-6436
Burucua,Constanza,0009-0004-3831-9719
Busaba,Walid,NO
Bussey,Timothy,0000-0001-7518-4041
Butler,Blake,0000-0001-5287-3450
Butler,Ronald J,0000-0002-7505-6223
Butler,Sheila,0000-0002-5397-9051
Butler,John,NO
Butter,Andreana,NO
Buzzelli,Michele,0009-0003-5047-6584
Byrd (Byrd Clark),Julie,0009-0003-4024-531X
Byrne,Janice,0000-0002-2510-7133
Byrne,Christopher,0000-0002-2289-8064
Cabrera,Ana,NO
Cacciotti,Chantel-Danielle,0000-0002-4968-8956
Caetano Crowley,Fabiana,0009-0001-9468-3361
Caine,Sean,NO
Cairney,A. Elizabeth L.,0000-0003-1569-8838
Cairns,Ewa,0000-0003-2748-3076
Calnitsky,David,0000-0002-0828-1957
Calogero,Rachel,0000-0002-2539-3475
Calvin,James,0009-0003-7620-3330
Camacho,Alex,NO
Cameron,Paul,NO
Cameron,Lisa,0000-0002-2108-8414
Cami,Jan,0000-0002-2666-9234
Campbell,Grant,0000-0001-9259-3138
Campbell,Lorne,0000-0002-9071-4845
Campbell,Colin,NO
Campbell,Craig,NO
Campbell,Jeffrey,NO
